id,name,category,price
9556,wear,blue,9
8428,instead,could,43
9433,perform,respond,3
4582,technology,behavior,1
1263,hundred,thus,32
2088,range,serious,57
2750,woman,room,38
4491,receive,miss,57
9965,serve,face,76
6797,almost,deal,9
2629,fill,history,71
1516,everything,light,64
5836,teach,opportunity,77
6692,action,during,99
755,newspaper,grow,6
2274,how,follow,18
5771,travel,process,91
2928,they,performance,28
4947,better,have,2
97,listen,improve,55
137,how,operation,10
9860,organization,stock,75
814,occur,level,51
2346,himself,suffer,23
5961,couple,learn,11
2336,many,seem,6
9072,him,interview,48
6348,already,structure,68
9620,foot,space,60
5587,only,easy,88
9805,coach,what,28
6630,course,apply,42
1657,chance,keep,59
4898,management,although,64
2269,last,family,33
3225,together,show,4
5781,dinner,indeed,96
8121,parent,consider,50
204,worry,institution,85
8430,writer,politics,83
7483,after,grow,39
8639,present,class,75
3044,fast,drug,45
7316,as,our,49
4120,put,reveal,64
9125,bed,matter,67
7618,away,they,32
6419,treatment,identify,37
298,black,exactly,52
2886,team,officer,42
