id,customer_id,product_id,quantity,sale_price
8835,6072,755,2,45.0
3953,4893,2886,8,68.0
5804,5619,9860,8,30.0
4804,6979,6630,8,69.0
2200,4847,4491,8,24.0
2968,804,4898,3,34.0
3756,1825,5781,6,17.0
6780,3387,4582,3,42.0
7551,4315,9805,9,67.0
1836,4847,6419,4,74.0
1716,6256,7316,2,13.0
280,7522,1657,7,33.0
8532,4975,6348,2,47.0
3021,8458,7483,7,12.0
1337,9173,8639,7,77.0
4832,818,8639,3,49.0
5786,5679,2928,3,0.0
3385,2998,8639,4,82.0
9345,2761,8121,4,32.0
6525,3214,1657,5,10.0
9689,9059,5587,2,77.0
2683,4847,1657,10,91.0
6349,4332,2629,3,85.0
8806,3985,6419,2,50.0
1515,7537,97,9,59.0
5239,7979,1516,9,90.0
8413,4975,7316,4,43.0
4186,4847,1657,7,97.0
803,629,1657,1,45.0
7449,7522,2336,2,99.0
1647,5611,4947,10,16.0
9814,6329,9556,1,62.0
7495,5156,5771,4,69.0
3340,4990,814,8,44.0
1785,7522,6419,10,5.0
2634,7382,4582,6,86.0
7615,4484,9556,9,69.0
4976,4975,814,5,14.0
3836,9080,5836,7,22.0
4482,5415,3044,4,39.0
1527,5415,8639,1,51.0
1846,5161,9433,1,58.0
1284,7938,204,5,40.0
250,6979,2346,7,12.0
5727,2998,9965,10,70.0
9198,804,5771,4,72.0
7343,818,1516,10,47.0
5735,818,2274,4,34.0
3384,9173,2274,3,45.0
1965,9749,6692,9,36.0
8019,4484,6692,10,81.0
966,3823,2274,3,98.0
7555,7838,3044,1,66.0
3897,4893,4898,7,89.0
2876,3823,6692,2,79.0
6627,7537,7483,2,74.0
8253,355,8430,10,66.0
3127,4952,8639,1,73.0
7111,7838,2336,7,48.0
4066,9749,9433,9,64.0
5354,5611,7618,6,41.0
8318,661,1516,10,52.0
8232,2091,8430,4,50.0
4322,4315,298,9,58.0
5816,3256,5961,5,58.0
1228,2148,7618,5,78.0
3072,8344,9125,2,71.0
6773,629,3044,2,60.0
6521,4024,6348,1,74.0
9545,740,8639,2,2.0
2102,5161,2336,9,90.0
1499,2521,6348,8,14.0
2915,3134,2269,4,96.0
4956,6354,4947,6,0.0
4194,6256,6630,5,64.0
8086,5550,204,6,79.0
286,629,4898,2,91.0
6584,4085,8430,2,7.0
393,6833,137,1,89.0
4797,7049,2750,6,7.0
9686,5586,7483,10,65.0
1622,4990,97,2,69.0
3070,7382,4947,8,76.0
6106,7838,4491,1,21.0
4478,2470,7618,6,88.0
7149,8863,4582,10,97.0
7813,7187,4120,3,62.0
8751,6931,6419,10,62.0
7846,7223,8639,7,36.0
768,5619,5836,4,38.0
722,5586,8428,8,58.0
6000,5586,8430,7,32.0
5251,4924,5587,2,32.0
9387,7382,1657,10,62.0
